"gender";"age_donor_cat";"region";"donor_yes_no";"bonus_status";"sum_confirmed_donations";"sum_count_bonuses_taken";"sum_unconfirmed_donations";"cnt_donor";"cnt_networks";"cnt_connection_donor"
нет_данных;нет данных;_, Донецкая область, Мариуполь;не_является_донором;без_бонусов;0;0;0;132;117;89
Мужской;от_18_до_30;Россия, Свердловская область, Екатеринбург;не_является_донором;без_бонусов;0;0;15;131;66;113
Женский;от_18_до_30;Россия, Ростовская область, Ростов-на-Дону;не_является_донором;без_бонусов;0;0;26;131;62;109
нет_данных;нет данных;Россия, Белгородская область, Белгород;является донором;без_бонусов;340;0;2;130;111;116
нет_данных;нет данных;Россия, Ростовская область, Шахты;не_является_донором;без_бонусов;0;0;1;129;110;80
нет_данных;нет данных;Россия, Томская область, Томск;является донором;без_бонусов;315;0;3;129;115;110
Женский;от_18_до_30;Россия, Нижегородская область, Нижний Новгород;не_является_донором;без_бонусов;0;0;10;127;51;106
нет_данных;нет данных;Россия, Псковская область, Псков;не_является_донором;без_бонусов;0;0;5;126;117;74
Женский;от_30_до_40;Россия, Татарстан, Набережные Челны;не_является_донором;без_бонусов;0;0;18;124;36;117
нет_данных;нет данных;Украина, Житомирская область, Житомир;не_является_донором;без_бонусов;0;0;0;120;107;85
нет_данных;нет данных;Россия, Марий Эл, Йошкар-Ола;не_является_донором;без_бонусов;0;0;10;119;95;68
Женский;от_40_до_50;Россия, Москва;является донором;без_бонусов;792;0;51;118;38;114
Мужской;нет данных;Россия, Башкортостан, Уфа;является донором;тратит_бонусы;491;193;4;117;44;108
Мужской;от_30_до_40;Россия, Новосибирская область, Новосибирск;не_является_донором;без_бонусов;0;0;35;117;37;111
нет_данных;нет данных;Украина, Черниговская область, Чернигов;не_является_донором;без_бонусов;0;0;0;117;102;80
Женский;от_18_до_30;Россия, Красноярский край, Красноярск;не_является_донором;без_бонусов;0;0;25;117;54;99
Мужской;нет данных;Россия, Москва;не_является_донором;без_бонусов;0;0;52;115;24;93
Женский;от_18_до_30;Россия, Башкортостан, Уфа;не_является_донором;без_бонусов;0;0;21;113;47;104
нет_данных;нет данных;Россия, Сахалинская область, Южно-Сахалинск;не_является_донором;без_бонусов;0;0;13;113;88;90
Мужской;от_18_до_30;Россия, Новосибирская область, Новосибирск;не_является_донором;без_бонусов;0;0;17;112;54;98
Женский;от_18_до_30;Россия, Татарстан, Набережные Челны;не_является_донором;без_бонусов;0;0;10;112;48;81
нет_данных;нет данных;Россия, Челябинская область, Челябинск;является донором;без_бонусов;211;0;14;109;86;99
нет_данных;нет данных;Россия, Иркутская область, Иркутск;является донором;без_бонусов;306;0;1;109;88;96
нет_данных;нет данных;Украина, Харьковская область, Харьков;является донором;без_бонусов;223;0;0;109;89;104
нет_данных;нет данных;Россия, Амурская область, Благовещенск;является донором;без_бонусов;235;0;14;107;70;101
нет_данных;нет данных;Россия, Хабаровский край, Хабаровск;является донором;без_бонусов;308;0;3;106;77;100
нет_данных;нет данных;Россия, Нижегородская область, Нижний Новгород;является донором;без_бонусов;288;0;9;104;81;99
Мужской;от_30_до_40;Россия, Свердловская область, Екатеринбург;не_является_донором;без_бонусов;0;0;39;104;36;97
Женский;от_18_до_30;Россия, Челябинская область, Челябинск;не_является_донором;без_бонусов;0;0;8;103;39;89
нет_данных;нет данных;Россия, Костромская область, Кострома;не_является_донором;без_бонусов;0;0;8;102;85;68
Мужской;от_40_до_50;Россия, Москва;является донором;тратит_бонусы;2819;344;42;101;48;101
Женский;нет данных;Россия, Татарстан, Казань;является донором;без_бонусов;1376;0;20;101;49;87
нет_данных;нет данных;Россия, Башкортостан, Уфа;является донором;тратит_бонусы;152;143;10;100;26;91
Мужской;от_30_до_40;Россия, Татарстан, Казань;является донором;тратит_бонусы;2844;329;45;100;53;98
нет_данных;нет данных;Молдова, Кишинев;не_является_донором;без_бонусов;0;0;0;99;70;76
нет_данных;нет данных;Россия, Кемеровская область, Новокузнецк;является донором;без_бонусов;260;0;1;98;77;91
нет_данных;нет данных;Россия, Тульская область, Тула;является донором;без_бонусов;212;0;8;98;79;95
нет_данных;нет данных;Россия, Ростовская область, Таганрог;не_является_донором;без_бонусов;0;0;31;97;81;71
Мужской;нет данных;Россия, Татарстан, Казань;является донором;без_бонусов;796;0;16;97;57;81
